pdb,execution_time
pdb2w7h_A_hinge_10_sigma1.5.pdb,0.284709
pdb6uyv_A_hinge_2_sigma1.5.pdb,0.025002
pdb6uyv_A_hinge_0_sigma1.5.pdb,0.01396
pdb6uyv_A_hinge_2_sigma0.5.pdb,0.015188
pdb6uyv_A_hinge_1_sigma0.5.pdb,0.021571
pdb6uyv_A_hinge_1_sigma1.5.pdb,0.01085
pdb6uyv_A_hinge_1_sigma1.0.pdb,0.02508
pdb6uyv_A_hinge_2_sigma1.0.pdb,0.010828
pdb6uyv_A_hinge_0_sigma0.5.pdb,0.016495
pdb6uyv_A_hinge_0_sigma1.0.pdb,0.010519
pdb4ys6_A_hinge_5_sigma1.0.pdb,0.379002
pdb4ys6_A_hinge_2_sigma0.5.pdb,0.700771
pdb4ys6_A_hinge_6_sigma0.5.pdb,0.643765
pdb4ys6_A_hinge_1_sigma0.5.pdb,0.648944
pdb4ys6_A_hinge_9_sigma1.5.pdb,0.144177
pdb4ys6_A_hinge_4_sigma1.0.pdb,0.450347
pdb4ys6_A_hinge_5_sigma0.5.pdb,0.641859
pdb4ys6_A_hinge_3_sigma1.0.pdb,0.376353
pdb4ys6_A_hinge_3_sigma0.5.pdb,0.66489
pdb4ys6_A_hinge_4_sigma1.5.pdb,0.176717
pdb4ys6_A_hinge_8_sigma0.5.pdb,0.623169
pdb4ys6_A_hinge_10_sigma1.5.pdb,0.125939
pdb4ys6_A_hinge_10_sigma0.5.pdb,0.638459
pdb4ys6_A_hinge_6_sigma1.0.pdb,0.397393
pdb4ys6_A_hinge_0_sigma0.5.pdb,0.673572
pdb4ys6_A_hinge_0_sigma1.0.pdb,0.519113
pdb4ys6_A_hinge_6_sigma1.5.pdb,0.145957
pdb4ys6_A_hinge_7_sigma1.5.pdb,0.165193
pdb4ys6_A_hinge_2_sigma1.0.pdb,0.481433
pdb4ys6_A_hinge_4_sigma0.5.pdb,0.635136
pdb4ys6_A_hinge_1_sigma1.0.pdb,0.400266
pdb4ys6_A_hinge_7_sigma1.0.pdb,0.510823
pdb4ys6_A_hinge_1_sigma1.5.pdb,0.18286
pdb4ys6_A_hinge_9_sigma0.5.pdb,0.617685
pdb4ys6_A_hinge_8_sigma1.0.pdb,0.434735
pdb4ys6_A_hinge_5_sigma1.5.pdb,0.181839
pdb4ys6_A_hinge_7_sigma0.5.pdb,0.653146
pdb4ys6_A_hinge_10_sigma1.0.pdb,0.414375
